
Scheduler 	Lambda 		AvgTs	 AvgTurnaround 	TotalThruput	CPU Util	Avg#ProcsInQ 	Quantum
---------------------------------------------------------------------------------------------------------------
HRRN()		16     		0.06	0.04788059	20.05115	0.9600597	20.03808	0.01
HRRN()		17     		0.06	4.760594	20.88344	0.9999019	119.2568	0.01
HRRN()		18     		0.06	17.78817	20.88355	0.9999074	391.2422	0.01
HRRN()		19     		0.06	29.4717	        20.88370	0.9999123	635.1545	0.01
HRRN()		20     		0.06	39.93343	20.88552	0.9999166	853.5657	0.01
HRRN()		21     		0.06	49.43867	20.88567	0.9999207	1052	        0.01
HRRN()		22     		0.06	58.06848	20.88589	0.9999243	1232.152	0.01
HRRN()		23     		0.06	65.96216	20.88600	0.9999275	1396.96	        0.01
HRRN()		24     		0.06	73.17419	20.88653	0.9999305	1547.52	        0.01
HRRN()		25     		0.06	79.83666	20.88663	0.9999333	1686.628	0.01
HRRN()		26     		0.06	85.96648	20.88686	0.9999359	1814.585	0.01
HRRN()		27     		0.06	91.62688	20.89312	0.9999383	1932.756	0.01
HRRN()		28     		0.06	96.90438	20.89333	0.9999405	2042.937	0.01
HRRN()		29     		0.06	101.8044	20.89388	0.9999425	2145.23	        0.01
HRRN()		30     		0.06	106.3851	20.89411	0.9999444	2240.868	0.01

Scheduler 	Lambda 		AvgTs	 AvgTurnaround 	TotalThruput	CPU Util	Avg#ProcsInQ 	Quantum
---------------------------------------------------------------------------------------------------------------
RORO()		1     		0.06	0.05252654	1.253552	0.05998685	1.258335	0.01
RORO()		2     		0.06	0.05276946	2.507845	0.1200055	2.519308	0.01
RORO()		3     		0.06	0.05281715	3.76125	        0.1799817	3.779993	0.01
RORO()		4     		0.06	0.0528136	5.015821	0.2400129	5.038115	0.01
RORO()		5     		0.06	0.05281969	6.26911	        0.2999765	6.296366	0.01
RORO()		6     		0.06	0.05282511	7.52421	        0.3599992	7.557143	0.01
RORO()		7     		0.06	0.05281727	8.779108	0.4200366	8.829824	0.01
RORO()		8     		0.06	0.05282309	10.03282	0.4800053	10.07723	0.01
RORO()		9     		0.06	0.05281906	11.28871	0.53993	        11.3465	        0.01
RORO()		10     		0.06	0.05280131	12.54368	0.5999479	12.59148	0.01
RORO()		11     		0.06	0.05279641	13.79855	0.6599511	13.87586	0.01
RORO()		12     		0.06	0.05279248	15.05333	0.7198954	15.10376	0.01
RORO()		13     		0.06	0.05303076	16.3075	        0.7798671	16.37134	0.01
RORO()		14     		0.06	0.05352695	17.56105	0.8397897	17.64737	0.01
RORO()		15     		0.06	0.05524033	18.8191	        0.8999487	18.93985	0.01
RORO()		16     		0.06	0.05672826	20.07538	0.9599929	20.24449	0.01
RORO()		17     		0.06	8.277174	20.77327	0.9832366	49.83403	0.01
RORO()		18     		0.06	29.51362	20.62217	0.9349254	119.1402	0.01
RORO()		19     		0.06	43.79448	21.9418	        0.9273905	171.0482	0.01
RORO()		20     		0.06	53.31809	21.47168	0.8468049	191.4056	0.01
RORO()		21     		0.06	71.68857	21.42788	0.8696836	243.2848	0.01
RORO()		22     		0.06	79.65012	21.66336	0.8427488	261.5779	0.01
RORO()		23     		0.06	86.5195	        17.64218	0.6607672	222.2081	0.01
RORO()		24     		0.06	91.5573	        19.42358	0.7014831	249.8582	0.01
RORO()		25     		0.06	98.88599	18.89616	0.6681637	251.4792	0.01
RORO()		26     		0.06	96.86127	22.26847	0.7414688	281.2155	0.01
RORO()		27     		0.06	98.73257	22.37023	0.7181177	278.4911	0.01
RORO()		28     		0.06	100.7853	18.74574	0.5827367	229.8015	0.01
RORO()		29     		0.06	106.7191	18.12177	0.5568177	227.0091	0.01
RORO()		30     		0.06	108.8735	21.76256	0.6526531	270.2696	0.01

Scheduler 	Lambda 		AvgTs	 AvgTurnaround 	TotalThruput	CPU Util	Avg#ProcsInQ 	Quantum
---------------------------------------------------------------------------------------------------------------
RORO()		1     		0.06	0.1472028	1.26048	       0.0599985	1.390345	0.2
RORO()		2     		0.06	0.1468693	2.521703	0.1199945	2.792234	0.2
RORO()		3     		0.06	0.1473877	3.782297	0.1799573	4.213313	0.2
RORO()		4     		0.06	0.1288877	5.044123	0.2399843	5.574886	0.2
RORO()		5     		0.06	0.1174521	6.306146	0.3000166	6.881463	0.2
RORO()		6     		0.06	0.1161556	7.567622	0.3599943	8.341907	0.2
RORO()		7     		0.06	0.1159918	8.830294	0.4199202	9.697264	0.2
RORO()		8     		0.06	0.1055053	10.09349	0.4799724	10.98991	0.2
RORO()		9     		0.06	0.1257161	11.35495	0.5398917	12.40976	0.2
RORO()		20     		0.06	0.0002471314	12078.97	0.5168415	9	        0.2
RORO()		21     		0.06	0.0002556199	12079.51	0.5168196	9	        0.2
RORO()		22     		0.06	0.000268088	11424.2	        0.4887289	9	        0.2
RORO()		23     		0.06	0.0002798825	10836.45	0.4635344	9	        0.2
RORO()		24     		0.06	14.94876	52.85738	1.037889	596.7368	0.2
RORO()		25     		0.06	13.50984	58.4151	        1.042005	593.2617	0.2
RORO()		26     		0.06	13.45219	61.42931	1.045806	612.6319	0.2
RORO()		27     		0.06	2.953552	138.1259	1.047971	302.726	        0.2
RORO()		28     		0.06	3.585776	129.5505	1.051073	339.2564	0.2
RORO()		29     		0.06	8.938865	84.32461	1.055799	540	        0.2
RORO()		30     		0.06	4.210785	127.2428	1.057545	382.2785	0.2
