Scheduler	Lambda	AvgST	AvgTA	TotalTP	CPU Util	Avg#ProcsInQ	Quantum
RR()	2.0	0.06	0.07	1.976	0.12	0.1	0.01
RR()	3.0	0.06	0.07	2.984	0.18	0.14	0.01
RR()	4.0	0.06	0.07	3.984	0.24	0.17	0.01
RR()	5.0	0.06	0.07	4.924	0.29	0.2	0.01
RR()	6.0	0.06	0.07	5.71	0.34	0.23	0.01
RR()	7.0	0.06	0.07	6.565	0.39	0.26	0.01
RR()	8.0	0.06	0.08	7.29	0.44	0.28	0.01
RR()	9.0	0.06	0.08	8.02	0.48	0.3	0.01
RR()	10.0	0.06	0.08	8.779	0.52	0.32	0.01
RR()	11.0	0.06	0.08	9.359	0.56	0.33	0.01
RR()	12.0	0.06	0.08	9.895	0.59	0.35	0.01
RR()	13.0	0.06	0.08	10.352	0.62	0.37	0.01
RR()	14.0	0.06	0.08	10.627	0.65	0.38	0.01
RR()	15.0	0.06	0.08	11.258	0.68	0.39	0.01
RR()	16.0	0.06	0.09	11.566	0.7	0.41	0.01
RR()	17.0	0.06	0.08	12.03	0.71	0.41	0.01
RR()	18.0	0.06	0.09	12.173	0.74	0.43	0.01
RR()	19.0	0.06	0.09	12.679	0.76	0.44	0.01
RR()	20.0	0.06	0.09	12.854	0.77	0.45	0.01
RR()	21.0	0.06	0.09	13.303	0.79	0.46	0.01
RR()	22.0	0.06	0.09	13.277	0.8	0.47	0.01
RR()	23.0	0.06	0.09	13.711	0.81	0.48	0.01
RR()	24.0	0.06	0.09	13.699	0.82	0.48	0.01
RR()	25.0	0.06	0.09	13.912	0.83	0.49	0.01
RR()	26.0	0.06	0.09	14.141	0.85	0.51	0.01
RR()	27.0	0.06	0.09	14.304	0.86	0.52	0.01
RR()	28.0	0.06	0.09	14.19	0.86	0.52	0.01
RR()	29.0	0.06	0.09	14.556	0.87	0.53	0.01
RR()	30.0	0.06	0.09	14.653	0.88	0.54	0.01
Scheduler	Lambda	AvgST	AvgTA	TotalTP	CPU Util	Avg#ProcsInQ	Quantum
------------------------------------------------------------------------------------
RR()	1.0	0.06	0.06	1.007	0.06	0.07	0.2
RR()	2.0	0.06	0.07	2.015	0.12	0.13	0.2
RR()	3.0	0.06	0.07	2.976	0.18	0.21	0.2
RR()	4.0	0.06	0.08	3.998	0.24	0.31	0.2
RR()	5.0	0.06	0.09	4.843	0.29	0.4	0.2
RR()	6.0	0.06	0.09	5.995	0.36	0.53	0.2
RR()	7.0	0.06	0.1	6.886	0.41	0.7	0.2
RR()	8.0	0.06	0.11	7.804	0.47	0.82	0.2
RR()	9.0	0.06	0.13	8.721	0.52	1.06	0.2
RR()	10.0	0.06	0.14	9.514	0.58	1.26	0.2
RR()	11.0	0.06	0.16	10.691	0.64	1.55	0.2
RR()	12.0	0.06	0.17	11.049	0.66	1.73	0.2
